Dental_Type,Contract_Type,Gender,Age_Band,SHA_Code,Weekly_Hours,NHS Commitment,Business_Arrangement,Activity Type,Primary_Sample,Estimated_Population,Weekly_Hours,Weekly_Hours_(%),NHS_Weekly_Hours,Clinical_Weekly_Hours,Clinical_NHS_Weekly_Hours,Weeks_Annual_Leave,NHS_(%),Private_(%),Clinical_(%),Non-Clinical_(%)
Principal,,,,,,,,,351,841,42.8,,30.3,31.7,22.9,4.4,70.7,29.3,74,26
Associate,,,,,,,,,558,1399,35.7,,29.2,29.9,24.9,4.5,82,18,83.8,16.2
All,,,,,,,,,909,2240,38.3,,29.6,30.6,24.2,4.4,77.3,22.7,79.7,20.3
Principal,,Male,,,,,,,,,44.1,,31,,,4.4,70.3,,74.5,25.5
Principal,,Female,,,,,,,,,38,,27.6,,,4.2,72.5,,71.7,28.3
Associate,,Male,,,,,,,,,38.2,,31.3,,,4.4,81.9,,83.7,16.3
Associate,,Female,,,,,,,,,33.6,,27.6,,,4.5,82,,83.9,16.1
All,,Male,,,,,,,,,41.2,,31.1,,,4.4,75.5,,78.6,21.4
All,,Female,,,,,,,,,34.5,,27.6,,,4.5,80.1,,81.4,18.6
Principal,,Male,<35,,,,,,,,47.2,,35.8,,,3.5,75.9,,73.9,26.1
Principal,,Male,35-44,,,,,,,,44,,29.7,,,4.4,67.4,,73.1,26.9
Principal,,Male,45+,,,,,,,,43.4,,30.4,,,4.6,70,,75.2,24.8
Principal,,Female,<35,,,,,,,,42.5,,31.9,,,3.7,75.1,,74.8,25.2
Principal,,Female,35-44,,,,,,,,35.7,,23.2,,,3.8,65,,68.2,31.8
Principal,,Female,45+,,,,,,,,38.7,,29.3,,,4.6,75.7,,72.9,27.1
Associate,,Male,<35,,,,,,,,39.8,,33.6,,,4.2,84.3,,85.1,14.9
Associate,,Male,35-44,,,,,,,,37.9,,30,,,4.3,79.2,,84.2,15.8
Associate,,Male,45+,,,,,,,,34.4,,27.2,,,5.2,78.9,,78.9,21.1
Associate,,Female,<35,,,,,,,,36.5,,30.3,,,4.4,82.9,,85.7,14.3
Associate,,Female,35-44,,,,,,,,31,,25.2,,,4.7,81.1,,83.1,16.9
Associate,,Female,45+,,,,,,,,29.2,,23.4,,,4.7,80.2,,79.1,20.9
All,,Male,<35,,,,,,,,41.5,,34.1,,,4.1,82.1,,82.3,17.7
All,,Male,35-44,,,,,,,,40.9,,29.8,,,4.3,73,,78.4,21.6
All,,Male,45+,,,,,,,,41.2,,29.6,,,4.7,71.8,,76,24
All,,Female,<35,,,,,,,,36.7,,30.3,,,4.4,82.6,,85.2,14.8
All,,Female,35-44,,,,,,,,32,,24.7,,,4.5,77.2,,79.5,20.5
All,,Female,45+,,,,,,,,33.2,,25.9,,,4.6,78,,76.1,23.9
Principal,,,,,<30,,,,19,44,,5.2,,,,,,,73.6,
Principal,,,,,30 <40,,,,93,221,,26.2,,,,,,,74,
Principal,,,,,40 <50,,,,152,364,,43.3,,,,,,,77.3,
Principal,,,,,50 <=80,,,,87,213,,25.3,,,,,,,69.7,
Associate,,,,,<30,,,,107,256,,18.3,,,,,,,83,
Associate,,,,,30 <40,,,,236,592,,42.3,,,,,,,84.3,
Associate,,,,,40 <50,,,,192,492,,35.2,,,,,,,85.1,
