"Description","StartDate","EndDate","Latitude","Longitude","Tags","SubmittedDate"
"AWPR 28 C89C (TrafficOrderNumber:5610)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 20:00 on the Friday evening until 06:00 on the Monday morning on weekends beginning 5, 12, 19, 26 August, 2016, is to impose a temporary prohibition of driving on the C89C Chapel of Stoneywood-Fairley Road, Aberdeen, between its junctions with Kingswells Crescent and the C88C Newhills Road.  Access to properties will be maintained, but no through traffic will be possible.  The measure is necessary to protect public safety during AWPR works.. An alternative route is available via the A944 Skene Road, Lang Stracht-Green Hedges, and A944 Lang Stracht, the A90 North Anderson Drive, the A96 Great Northern Road, Auchmill Road, and Inverurie Road.","2016-08-05 20:00","2016-08-29 06:00","57.1691216901472640","-2.2176809475431294","Road Closed","2016-07-05 14:11:16  "
"Viewfield Road (TrafficOrderNumber:5612)  : Aberdeen City Council hereby gives notice under the Road Traffic Act 1984 of Temporary Restriction of Traffic.      In the interests of public safety during  urgent works being carried out by Scottish Water,  Viewfield Road   will be closed   between its junction with Kepplestone Gardens   and the south side of   the entrance to   the Gordon Highlanders Regimental Museum   until 18:00 on 11 July, 2016.    The Council regrets any inconvenience that may be caused by this temporary measure, which is in the interest of public safety.. An alternative route is available via    Rubislaw Park Crescent, Rubislaw Park Road and Queen’s Road","2016-07-05 00:00","2016-07-11 18:00","57.1376239472931640","-2.1454761308627677","Road Closed","2016-07-05 10:22:08  "
"Kennerty Road (TrafficOrderNumber:21/6/16)  : Aberdeen City Council hereby gives notice under the Road Traffic Act 1984 of a Temporary Restriction of Traffic.        In the interests of public safety during  landslip repair works being carried out by ACC.    Kennerty Road, Aberdeen,   will be closed   between its junctions with Millside Street and   Kennerty Mills Road,   from 15:00 on 21 June, 2016,  until 2 September, 2016.      The Council regrets any inconvenience that may be caused by this temporary measure, which is in the interest of public safety.. An alternative route is available via    Millside Street, North Deeside Road, Station Road East,   Burnside Road and Kennerty Mills Road","2016-06-21 15:00","2016-09-02 12:00","57.0956763499319490","-2.2727178852044201","Road Closed","2016-07-04 16:48:02  "
"Foresters' Avenue (TrafficOrderNumber:5600)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 08:00 on 19 July, 2016, until 18:00 on 21 July, 2016, is to impose a temporary prohibition of driving on Foresters’ Avenue, Aberdeen, from the boundary between numbers 18 and 20 Forester’s Avenue to the junction of Prospect Terrace. The existing one-way system will be suspended to allow egress from properties.  There will also be a prohibition of waiting on Foresters’ Avenue, Aberdeen, from the boundary between numbers 22 and 24 Forester’s Avenue to the junction of Prospect Terrace, and from the western boundary of number 14 Foresters’ Avenue to the boundary between numbers 18 and 20 Foresters’ Avenue.  Blue Badge Scheme holders shall be exempt, from the boundary between numbers 26 and 28 Foresters’ Avenue to its junction with Prospect Terrace.  The measures are necessary to protect public safety during crane lifting works.. An alternative route is available via Prospect Terrace.","2016-07-19 08:00","2016-07-21 18:00","57.1898406904969650","-2.1810887472647211","Road Closed","2016-07-04 14:52:45  "
"Saint Swithin Street, Ashley road, Queen's Lane South, Union Grove Lane, Ashley Gardens (TrafficOrderNumber:5571)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order is to impose the following restrictions;    Phase 1; Ashley Road, Aberdeen, will be closed between its junction with Great Western Road and the southern boundary of number 14 Ashley Road, from 05:00 on 7 July, 2016, until 18:00 on 29 July, 2016.  When work is completed at this section Ashley Road will then be made one-way southbound between its junctions with Union Grove and Great Western Road, until 18:00 on 7 August, 2016.  Ashley Gardens, Aberdeen, will be closed between its junctions with Ashley Road and a point ten metres or thereby, west of this junction, from 05:00 on 11 July, 2016, until 18:00 on 7 August, 2016.  There will be prohibition of waiting on the east side of Ashley Road, Aberdeen, between the northern boundary of number 50 Ashley Road and the southern boundary of number 46 Ashley Road, and also from its junction with Union Grove to the boundary between numbers 82 and 84 Ashley Road, from 05:00 on 11 July, 2016, until 18:00 on 7 August, 2016.      Phase 2; St. Swithin Street, Aberdeen, will be one-way southbound between its junctions with Queens Cross and Union Grove, from 05:00 on 1 August, 2016, until 18:00 on 18 September, 2016.  Queen’s Lane South, Aberdeen, will be closed between its junction with St. Swithin Street and a point ten metres or thereby, west of this junction, from 05:00 on 1 August, 2016, until 18:00 on 28 August, 2016.  Union Grove Lane, Aberdeen, will be closed between its western junction with St. Swithin Street and a point ten metres or thereby, west of this junction, from 05:00 on 15 August, 2016, until 18:00 on 18 September, 2016.  There will be a prohibition of waiting on the west side of St. Swithin Street, Aberdeen, between its junction with Gladstone Place and the southern boundary of number 17 St. Swithin Street, and also between its junctions with Devonshire Road and Union Grove Lane, from 08:00 on 1 August, 2016, until 18:00 on 18 September, 2016.  Delivery vehicles shall be exempt from the waiting restriction between the junctions of Devonshire Road and Union Grove Lane.      The measures are necessary to protect public safety during traffic signal refurbishment works by Aberdeen City Council and gas mains replacement works by SGN.. Alternative routes are available via Great Western Road, Holburn Street and Union Grove for Phase 1, and Union Grove, Holburn Street, Alford Place, and Albyn Place for Phase 2.","2016-07-07 05:00","2016-09-18 18:00","57.1395958950951840","-2.1244501923213743","Road Closed","2016-07-04 12:55:22  "
"Donmouth Road (TrafficOrderNumber:5532)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:30 on 13 June, 2016, until 18:00 on 15 July, 2016, is to impose a temporary prohibition of driving on Donmouth Road, Aberdeen, between its junction with Ellon Road and the boundary of numbers 1 and 2 Donmouth Road.  There will also be a prohibition of waiting on the same stretch of road.  Access to properties will be maintained, but no through traffic will be possible.  The measures are necessary to protect public safety during embankment and footway reconstruction works.. An alternative route is available via Donmouth Terrace, Donmouth Crescent, and Links Road.","2016-06-13 07:30","2016-07-15 18:00","57.1762942079912190","-2.0896427685298300","Road Closed","2016-07-01 12:48:01  "
"Greyhope Road (TrafficOrderNumber:5521)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 05:30 on 19 May 2016, until 24:00 on 30 November, 2017, is to impose a one-way restriction on Greyhope Road, Aberdeen, between its junction with Sinclair Road and its west junction with  St. Fitticks Road, other than in a Eastbound direction. Also a 7.5 Tonnes weight restriction will be imposed, on the same stretch of road. The restriction is in the interests of public safety during carriageway foundations and sea wall works.. An alternative route for westbound vehicles is available via Victoria Road, South Esplanade East, Crombie Place and Sinclair Road.","2016-05-19 05:30","2017-11-30 23:59","57.1396544240961860","-2.0729153204964921","RoadWorks","2016-06-30 16:34:04  "
"HOLBURN STREET (TrafficOrderNumber:2016/199/TL)  : Temporary signals in use for SGN, south of Broomhill Road junction & working 09.30 to 15.30 each day.   There will also be a  temporary prohibition of waiting (TTRO 5605) on the west side of Holburn Street, Aberdeen, between its junctions with Abergeldie Terrace and Broomhill Road.  The parking restrictions will not be implemented on the whole length at any one time, and will be demarcated by the use of no-waiting cones as and when required.  The measures are necessary to protect public safety during gas main replacement works being carried out by SGN.. ","2016-07-11 09:30","2016-07-25 15:30","57.1357692067192250","-2.1149541449370521","RoadWorks","2016-06-30 14:58:34  "
"Rob Roy Bridge (Culter Burn Bridge, North Deeside Road (TrafficOrderNumber:5584)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 19:00 on 22 July, 2016, until 06:00 on 23 July, 2016, is to impose a temporary prohibition of driving on North Deeside Road, Aberdeen, between two points 50 metres either side of Rob Roy Bridge.  The measure is necessary to protect public safety during bridge repair works for Aberdeen City Council.. An alternative route is available via North Deeside Road, B979 Milltimber Brae, the B9077 South Deeside Road, and the A967 Slug Road.","2016-07-22 19:00","2016-07-23 06:00","57.0982456288793260","-2.2069330462398291","Road Closed","2016-06-28 16:34:29  "
"B999 Tarvès Road (TrafficOrderNumber:5593)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 05:00 on 15 July, 2016, 2016, until 22:00 on 18 July, 2016, is to impose a temporary one-way restriction on the B999 Tarves Road, Aberdeen, between its junctions with the A90 Ellon Road and Denmore Road.  The permitted direction of travel will be eastbound only.  An alternative route is available via the A90 Parkway, Woodside Road and Denmore Road.  The measure is necessary to protect public safety during footway and cycleway construction works by Aberdeen City Council.. An alternative route is available via the A90 Parkway, Woodside Road and Denmore Road.","2016-07-15 05:00","2016-07-18 22:00","57.2022627563898570","-2.0912616509890967","RoadWorks","2016-06-28 16:21:17  "
